RSSI0 OMNI,RSSI1 OMNI,CINR0 OMNI,CINR1 OMNI,RSSI0 PARABOLIC,RSSI1 PARABOLIC,CINR0 PARABOLIC,CINR1 PARABOLIC,Radio Distance Clean,Radio Distance Noise,GPS Distance Clean,GPS Distance Noise,Longitude,Latitude,Drone Speed,Drone Climb,Drone Altitude,Barometer Altitude,Home to drone bearing,Home to drone elevation,Accelerometer,GPS Spoofing
-79,-81,24,24,-66,-65,40,40,4263.674185,4283.364914,4263.674185,4260.683657,34.79443,31.971705,14.250179,-0.04958,41.918236,41.783347,160.159441,0.559944,0.019273,0
-81,-81,24,24,-65,-65,41,40,4265.442606,4332.887045,4265.442606,4264.163344,34.794566,31.971714,14.269452,-0.049647,41.52551,41.673471,159.969369,0.55902,0.019273,0
-81,-80,24,24,-66,-64,40,40,4267.260429,4244.370374,4267.260429,4263.861463,34.794687,31.971754,14.288725,-0.049714,42.955661,41.614657,159.7792,0.558088,0.019273,0
-82,-81,24,22,-65,-66,38,41,4269.127786,4262.604394,4269.127786,4272.194747,34.794863,31.97173,14.307998,-0.049781,41.485663,41.486287,159.588939,0.557151,0.019273,0
-82,-81,24,24,-65,-65,40,40,4271.044805,4253.064493,4271.044805,4275.202985,34.794912,31.971717,14.327271,-0.049848,41.486026,41.448492,159.39859,0.556207,0.019273,0
-79,-81,23,25,-65,-65,40,41,4273.011612,4295.147654,4273.011612,4265.289695,34.795058,31.971858,14.346544,-0.049915,41.788532,41.490946,159.208159,0.555257,0.019273,0
-80,-81,24,23,-66,-63,40,40,4275.028333,4243.399264,4275.028333,4267.638361,34.795236,31.971893,14.365817,-0.049982,41.20547,41.511603,159.017649,0.5543,0.019273,0
-81,-83,23,23,-65,-65,39,40,4277.095091,4221.473794,4277.095091,4280.107894,34.795412,31.971831,14.38509,-0.050049,40.851934,41.428557,158.827066,0.553338,0.019273,0
-81,-81,25,24,-66,-65,40,38,4279.212008,4318.214028,4279.212008,4275.231607,34.795544,31.971921,14.404363,-0.050116,40.88545,41.199247,158.636414,0.552369,0.019273,0
-81,-82,24,24,-64,-65,40,40,4281.379204,4336.334317,4281.379204,4289.563859,34.795732,31.971845,14.423636,-0.050183,41.585235,41.273199,158.445698,0.551394,0.019273,0
